layer.1,layer.2,layer.3,layer.4,layer.5,layer.6
626,936,1114,1967,2849,2460
837.5,1188.5,1431.5,2350.5,3181,2610
858,1147,1448,2309,3112.5,2574.5
892.5,1312.5,1589.5,2418,3189.5,2586
955.5,1445.5,1767.5,2609,3241.5,2723
882,1310.5,1659,2524,3150,2551.5
948,1279,1623,2706,3217,2676
1062,1398,1762.5,3071.5,3302.5,2511.5
995,1239,1506,2448,2903,2327
928.5,1217,1551,2351.5,2915.5,2334
969,1390,1819,2883,3576,2557
863,1316,1702,2795,3627,2505
800,989,1240,2088,3014,2603
860.5,1070.5,1348.5,2124,3159.5,2738
931,1123,1448,2271,3252,2896
995,1325,1715,2587,3449,3020
964,1405,1746,2769,3331,2687
960.5,1349.5,1643.5,2669,3161,2613.5
995,1296,1659.5,2601.5,3225,2592.5
963.5,1357.5,1617,2714,3119,2557.5
873.5,1189.5,1491.5,2309,2848.5,2235.5
654,862,1085,1689,2089,1564
809,1238,1403,2459,2792,2118
920,1190,1478,2498,3136,2606
985,1291,1686,2725,3492,2856
918,1317,1638,2719.5,3229,2636
1070,1481,1859,3105,3680,2866
1262,1726,2114,3326,3808,3053
903.5,1285,1591.5,2533.5,2777.5,2175
839,1240.5,1507,2556,2680.5,2143
957,1306.5,1579.5,2705,3200.5,2672
918,1317,1644,2615,3209,2667
860,1222,1472,2376,3021,2436
906,1224,1521,2398,3265,2806
890,1115,1376,2308,3238,2692
811.5,1088.5,1401.5,2235,3201,2719.5
835.5,1067.5,1403.5,2299,3231,2729.5
808,1089.5,1306,2298.5,3166,2571.5
721,911,1229,2072,2914,2465
767,1007,1324,2118,3022,2584
767,1029,1362,2247,3191,2523
783,986,1355,2222,3182,2579
729,937,1178,1868,2563,1853
729,971,1239,1868,2523,1895
733.5,1035,1184.5,1884.5,2412,1839.5
730,937,1148,1868,2562,1853
730,938,1178,1957,2523,1811
870,1340,1542,2498,2910,2375
935,1224,1591,2594,2979,2389
1043,1458,1818,2809,3586,3006
1068,1600,1921,3108,3642,3064
1043,1482,1896,3296,3511,2779
818,1137,1402.5,2376.5,2780,2288.5
888,1230,1648,2907,2789,1984
815.5,1114,1454.5,2317.5,3095.5,2483
787,1050,1388,2233,2985,2581
823,1100,1459,2311,2985,2613
801,1077,1438,2207,2911,2529
780,981,1291,2075,2856,2487
739,914,1250,2051,2835,2487
752,948,1207,2142,2867,2297
759,1058.5,1327.5,2184.5,3017.5,2417.5
756,1016,1241,2089,2905,2516
754,1050,1358,2187,3222,2784
754.5,908,1186.5,2003.5,2897,2477.5
598,777,1060,1821,2743,2250
643,929,1054,1774,2602,2166
666,832,1017,1790,2658,2250
688,846,1117,1958,2865,2445
711,949,1144,1885,2850,2406
689,915,1176,1891,2906,2385
689,916,1144,1871,2875,2413
758,916,1238,2049,2994,2603
759,950,1238,2048,2969,2494
932,1312,1558.5,2590,3279,2749.5
809.5,1138.5,1442.5,2247.5,3062,2493.5
945.5,1201.5,1462,2395,3219,2646.5
848,1143,1412,2172,3311,2734
901,1143,1412,2213,3283,2663
1108,1389,1644,2758,3302,2628
732,956,1263,2076,3110,2773
713,907,1207,1991,3110,2732
709.5,890.5,1188.5,1973,3084,2727.5
777,1003,1249,2078,3195,2789
797,1028,1333,2121,3308,2938
802,1048,1362.5,2171.5,3334,2950
806,1052,1333,2251,3364,2937
767,956,1271,2121,3223,2811
778,1061,1263,2078,3223,2580
673,938,1148,1923,2736,2375
610,939,1148,1964,2789,2375
653,979,1148,1922,2844,2416
726.5,907,1095.5,1837,2704,2294
749.5,975.5,1204.5,1966,2831,2395.5
842.5,1092,1362.5,2193.5,2971.5,2562
882,1310,1544,2456,3170,2740
819,1268,1511,2456,3198,2781
886,1251,1591,2780,3307,2633
907,1251,1648,2608,3234,2633
860,1151,1458,2392,3110,2628
902,1152,1477,2414.5,3184,2681
907,1274,1686,2608,3357,2582
870,1196,1506,2479.5,3247.5,2668
954,1251,1622,2652,3421,2694
954,1317.5,1785,2911,3557,2694.5
850,1146.5,1393.5,2281,3123.5,2658
781,1106,1298,2084,3136,2624
749.5,1021.5,1277,2169.5,3152.5,2689
807,1044,1287.5,2144,3153.5,2696.5
825,1106,1271,2169,3195,2627
1003,1277,1624,2622,3195,2516
1024,1277,1604,2667,3273,2625
928,1361,1819,3165,3504,2270
904,1184,1486,2536,3201,2671
916,1324,1611,2506,3402,2725
1022,1367,1763,3023,3300,2547
1006,1483,2008,3387.5,3685,2434
1012,1350,1684,2758,3751,2789
1021,1391,1724,2847,3779,2683
959,1361,1712,3036,3527,2914
922,1353.5,1632.5,2834,3397,2673.5
972,1340,1762,2950,3232,2347
1004,1411,1610,2762,3330,2709
1127,1548,1884,3163,3074,2147
742,1117.5,1310.5,2170.5,2398.5,1853.5
862.5,1320.5,1560,2421.5,2852.5,2384
854,1237,1482,2184,2482,1992.5
886,1369.5,1590,2393.5,2840.5,2454.5
994,1358,1745,2633,3253,2795
897,1223,1508,2407,3096,2563
895.5,1215,1475,2347.5,3013,2468.5
929,1273,1567,2419,3049,2605
1010,1444,1793.5,2677,3252.5,2740.5
1125,1558,1923,2950,3539,3063
967,1440,1751,2963,3350,2476
829,1192,1442.5,2390.5,3143,2502
950,1411,1626,2633,3095,2521
1116,1612,1922,3129,3516,2835
1190,1755,1922,3233,3687,2961
1175,1754,1962,3335,3457,2729
1186,1378,1934,3252,3702,2401
1059,1492,1885,2848,3499,2771
924.5,1339,1757,2721.5,3360.5,2421
903.5,1337.5,1782.5,2699.5,3386,2362
903,1396,1567,2477,2925,2246
908.5,1386,1698.5,2601,3312,2468.5
1028.5,1374,1793.5,2859.5,3540.5,2761.5
849,1150,1437,2377,2908,2079
1186,1609.5,1991.5,3103.5,3532.5,2924.5
1253.5,1645,2002.5,3418,3896,3218.5
1299,1655,2106,3457,4984,3883
1299,1587,2066,3457,4508,3804
1276,1610,1946,3323,4308,3456
1300,1840,2139,3646,3587,2873
1060.5,1513,1840,2966.5,3383,2631
938,1388,1719.5,2559,3344.5,2746.5
962,1327,1632,2541.5,3445,3005.5
1063,1503,1843.5,2954,3677.5,3047.5
1025,1496,1784,2677,3611,3046
953,1359,1654.5,2605.5,3374.5,2844.5
1072,1615,1920,2934,3610,2925
1154,1625.5,2034,3051.5,3752.5,3070.5
1123.5,1581,1983,2988.5,3815.5,3097.5
1009,1496,1835,2763,3556,2976
963.5,1359,1672,2648,3413,2911
958,1367,1576,2419,3274,2920
885,1222,1535,2705,3212,2527
850,1205,1424.5,2188.5,2717,2217
892,1281,1437,2291,2881,2289
825,1193,1333,2162,2853,2289
830.5,1166,1352.5,2183,3022,2512
925,1333,1536.5,2493.5,3268,2675.5
962.5,1392,1639,2734.5,3293.5,2707.5
958,1367,1541,2429,3134,2836
923.5,1374,1537,2412.5,3218,2863
722,1018.5,1203,2019,2874.5,2370
624,976,1180,1925,2930,2664
892,1280,1506,2677,3528,2920
956,1432,1677,2669,3070,2707
1002,1539,1747,3105,3330,2584
782,1193,1368,2161,3162,2919
